OBJECTID_1,LDQ_zip
1,https://www.oregongeology.org/pubs/ldq/LDQ-45123G8.zip
2,https://www.oregongeology.org/pubs/ldq/LDQ-46123B7.zip
3,https://www.oregongeology.org/pubs/ldq/LDQ-45123H3.zip
4,https://www.oregongeology.org/pubs/ldq/LDQ-46123B4.zip
5,https://www.oregongeology.org/pubs/ldq/LDQ-46123B6.zip
6,https://www.oregongeology.org/pubs/ldq/LDQ-46124B1.zip
7,https://www.oregongeology.org/pubs/ldq/LDQ-45123G3.zip
8,https://www.oregongeology.org/pubs/ldq/LDQ-45123G5.zip
9,https://www.oregongeology.org/pubs/ldq/LDQ-46123A8.zip
10,https://www.oregongeology.org/pubs/ldq/LDQ-46123C5.zip
11,https://www.oregongeology.org/pubs/ldq/LDQ-46123A6.zip
12,https://www.oregongeology.org/pubs/ldq/LDQ-45123G6.zip
13,https://www.oregongeology.org/pubs/ldq/LDQ-46123B5.zip
14,https://www.oregongeology.org/pubs/ldq/LDQ-46123A3.zip
15,https://www.oregongeology.org/pubs/ldq/LDQ-46123B3.zip
16,https://www.oregongeology.org/pubs/ldq/LDQ-45123H7.zip
17,https://www.oregongeology.org/pubs/ldq/LDQ-46123A4.zip
18,https://www.oregongeology.org/pubs/ldq/LDQ-46123A7.zip
19,https://www.oregongeology.org/pubs/ldq/LDQ-45123H6.zip
20,https://www.oregongeology.org/pubs/ldq/LDQ-45123H4.zip
21,https://www.oregongeology.org/pubs/ldq/LDQ-46123C4.zip
22,https://www.oregongeology.org/pubs/ldq/LDQ-45123G7.zip
23,https://www.oregongeology.org/pubs/ldq/LDQ-45123G4.zip
24,https://www.oregongeology.org/pubs/ldq/LDQ-45123H8.zip
25,https://www.oregongeology.org/pubs/ldq/LDQ-45123H5.zip
26,https://www.oregongeology.org/pubs/ldq/LDQ-46123B8.zip
27,https://www.oregongeology.org/pubs/ldq/LDQ-46123A5.zip
28,https://www.oregongeology.org/pubs/ldq/LDQ-46124C1.zip
29,https://www.oregongeology.org/pubs/ldq/LDQ-46123C8.zip
30,https://www.oregongeology.org/pubs/ldq/LDQ-46123C7.zip
31,https://www.oregongeology.org/pubs/ldq/LDQ-46123C6.zip
